,CustomerID,RecommendedItems
0,17850,"CANDLEHOLDER PINK HANGING HEART, RED HANGING HEART T-LIGHT HOLDER, JUMBO BAG RED RETROSPOT, HEART OF WICKER LARGE, HEART OF WICKER SMALL"
1,13047,"SET OF TEA COFFEE SUGAR TINS PANTRY, PAPER CHAIN KIT VINTAGE CHRISTMAS, CANDLEHOLDER PINK HANGING HEART, RED HANGING HEART T-LIGHT HOLDER, RECIPE BOX PANTRY YELLOW DESIGN"
2,12583,"DOLLY GIRL LUNCH BOX, SET OF 3 HEART COOKIE CUTTERS, BAKING SET 9 PIECE RETROSPOT , VINTAGE SNAP CARDS, PACK OF 60 PINK PAISLEY CAKE CASES"
3,14688,"GARDENERS KNEELING PAD CUP OF TEA , LOVE BUILDING BLOCK WORD, LARGE WHITE HEART OF WICKER, LUNCH BAG SUKI DESIGN , LUNCH BAG WOODLAND"
4,17809,"BAKING SET 9 PIECE RETROSPOT , PAPER CHAIN KIT 50'S CHRISTMAS , JAM MAKING SET WITH JARS, PARTY BUNTING, SET OF 3 CAKE TINS PANTRY DESIGN "
5,15311,"SET OF 3 BUTTERFLY COOKIE CUTTERS, LUNCH BAG ALPHABET DESIGN, LUNCH BAG DOLLY GIRL DESIGN, LARGE WHITE HEART OF WICKER, JUMBO BAG VINTAGE DOILY "
6,16098,"JUMBO BAG RED RETROSPOT, WHITE HANGING HEART T-LIGHT HOLDER, PARTY BUNTING, SET OF 3 CAKE TINS PANTRY DESIGN , ASSORTED COLOUR BIRD ORNAMENT"
7,18074,"WHITE HANGING HEART T-LIGHT HOLDER, PARTY BUNTING, ASSORTED COLOUR BIRD ORNAMENT, BAKING SET 9 PIECE RETROSPOT , NATURAL SLATE HEART CHALKBOARD "
8,17420,"LUNCH BAG WOODLAND, LUNCH BAG SUKI DESIGN , LUNCH BAG CARS BLUE, LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT"
9,16250,"HEART OF WICKER LARGE, SMALL WHITE HEART OF WICKER, SET OF 3 CAKE TINS PANTRY DESIGN , WHITE HANGING HEART T-LIGHT HOLDER, PARTY BUNTING"
10,12431,"DOLLY GIRL LUNCH BOX, LUNCH BAG ALPHABET DESIGN, VINTAGE SNAP CARDS, JUMBO BAG STRAWBERRY, LUNCH BAG DOLLY GIRL DESIGN"
11,17511,"JUMBO BAG STRAWBERRY, JUMBO BAG PINK POLKADOT, JUMBO BAG APPLES, JUMBO STORAGE BAG SUKI, JUMBO BAG VINTAGE DOILY "
12,13705,"SMALL WHITE HEART OF WICKER, HEART OF WICKER LARGE, SPOTTY BUNTING, WHITE HANGING HEART T-LIGHT HOLDER, BAKING SET 9 PIECE RETROSPOT "
13,13408,"PINK REGENCY TEACUP AND SAUCER, ALARM CLOCK BAKELIKE PINK, SET OF 3 BUTTERFLY COOKIE CUTTERS, LUNCH BAG WOODLAND, LUNCH BAG SUKI DESIGN "
14,13767,"CANDLEHOLDER PINK HANGING HEART, RED HANGING HEART T-LIGHT HOLDER, SPOTTY BUNTING, SET OF 3 CAKE TINS PANTRY DESIGN , HEART OF WICKER LARGE"
15,13448,"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE PINK, ROSES REGENCY TEACUP AND SAUCER , LUNCH BAG ALPHABET DESIGN, LUNCH BAG WOODLAND"
16,15862,"ALARM CLOCK BAKELIKE RED , LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE, LUNCH BAG SUKI DESIGN , LUNCH BAG ALPHABET DESIGN"
17,16218,"GARDENERS KNEELING PAD CUP OF TEA , LUNCH BAG WOODLAND, JUMBO BAG STRAWBERRY, LUNCH BAG ALPHABET DESIGN, LUNCH BAG DOLLY GIRL DESIGN"
