CustomerID,Recency,Monetary,Frequency,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,CustomerID
12347.0,2,389.93,166,High,High,High,"High, High, High",12347
12348.0,249,3.9000000000000004,6,Low,Low,Low,"Low, Low, Low",12348
12349.0,19,151.25,58,High,High,High,"High, High, High",12349
12350.0,310,25.3,16,Low,Low,Low,"Low, Low, Low",12350
12352.0,36,206.26,66,High,High,High,"High, High, High",12352
12353.0,204,4.4,2,Low,Low,Low,"Low, Low, Low",12353
12354.0,232,100.69,40,Low,High,High,"Low, High, High",12354
12355.0,214,29.450000000000003,9,Low,Low,Low,"Low, Low, Low",12355
12356.0,246,68.49,33,Low,Low,Low,"Low, Low, Low",12356
12357.0,33,231.5,96,High,High,High,"High, High, High",12357
12358.0,2,58.92,14,High,Low,Low,"High, Low, Low",12358
12359.0,58,549.01,176,Low,High,High,"Low, High, High",12359
12360.0,52,234.11,117,Low,High,High,"Low, High, High",12360
12361.0,287,18.35,9,Low,Low,Low,"Low, Low, Low",12361
12362.0,3,580.37,225,High,High,High,"High, High, High",12362
12364.0,8,90.64,78,High,High,High,"High, High, High",12364
12365.0,291,43.870000000000005,20,Low,Low,Low,"Low, Low, Low",12365
12367.0,4,16.990000000000002,9,High,Low,Low,"High, Low, Low",12367
12370.0,51,380.54,152,High,High,High,"High, High, High",12370
12371.0,60,177.98,58,Low,High,High,"Low, High, High",12371
12372.0,72,84.22,44,Low,High,High,"Low, High, High",12372
12373.0,311,23.3,12,Low,Low,Low,"Low, Low, Low",12373
12374.0,25,61.6,29,High,Low,Low,"High, Low, Low",12374
12375.0,11,27.490000000000002,13,High,Low,Low,"High, Low, Low",12375
12377.0,315,151.45,74,Low,High,High,"Low, High, High",12377
12378.0,130,432.28000000000003,194,Low,High,High,"Low, High, High",12378
12379.0,82,83.8,37,Low,High,High,"Low, High, High",12379
12380.0,22,222.58,91,High,High,High,"High, High, High",12380
12381.0,5,188.94,74,High,High,High,"High, High, High",12381
12383.0,185,114.57000000000001,76,Low,High,High,"Low, High, High",12383
12384.0,29,56.89,17,High,Low,Low,"High, Low, Low",12384
12386.0,367,21.45,7,Low,Low,Low,"Low, Low, Low",12386
12388.0,16,261.82,93,High,High,High,"High, High, High",12388
12390.0,80,58.45,26,Low,Low,Low,"Low, Low, Low",12390
12391.0,22,218.88,97,High,High,High,"High, High, High",12391
12393.0,72,134.7,58,Low,High,High,"Low, High, High",12393
12394.0,217,38.37,19,Low,Low,Low,"Low, Low, Low",12394
12395.0,19,265.47,121,High,High,High,"High, High, High",12395
12397.0,36,244.61,109,High,High,High,"High, High, High",12397
12398.0,46,120.36,81,High,High,High,"High, High, High",12398
12399.0,119,58.61,46,Low,High,Low,"Low, High, Low",12399
12401.0,303,9.7,2,Low,Low,Low,"Low, Low, Low",12401
12402.0,323,21.2,10,Low,Low,Low,"Low, Low, Low",12402
12403.0,50,9.100000000000001,2,High,Low,Low,"High, Low, Low",12403
12405.0,149,115.9,42,Low,High,High,"Low, High, High",12405
12406.0,22,208.85,96,High,High,High,"High, High, High",12406
12407.0,50,118.56,61,High,High,High,"High, High, High",12407
12408.0,33,186.53,90,High,High,High,"High, High, High",12408
12409.0,79,95.06,25,Low,Low,High,"Low, Low, High",12409
12410.0,309,28.07,14,Low,Low,Low,"Low, Low, Low",12410
12412.0,75,113.96000000000001,56,Low,High,High,"Low, High, High",12412
12413.0,67,81.29,31,Low,Low,High,"Low, Low, High",12413
12414.0,217,32.15,12,Low,Low,Low,"Low, Low, Low",12414
12415.0,25,347.59000000000003,116,High,High,High,"High, High, High",12415
12417.0,3,395.29,139,High,High,High,"High, High, High",12417
12418.0,113,53.65,25,Low,Low,Low,"Low, Low, Low",12418
12420.0,64,60.550000000000004,20,Low,Low,Low,"Low, Low, Low",12420
12421.0,16,78.27,39,High,High,Low,"High, High, Low",12421
12422.0,96,74.4,37,Low,High,Low,"Low, High, Low",12422
12423.0,1,171.65,111,High,High,High,"High, High, High",12423
12424.0,163,61.96,21,Low,Low,Low,"Low, Low, Low",12424
12425.0,78,66.49,30,Low,Low,Low,"Low, Low, Low",12425
12426.0,195,59.29,25,Low,Low,Low,"Low, Low, Low",12426
12427.0,22,55.15,23,High,Low,Low,"High, Low, Low",12427
12428.0,26,552.97,247,High,High,High,"High, High, High",12428
12429.0,9,183.99,77,High,High,High,"High, High, High",12429
12430.0,43,16.53,9,High,Low,Low,"High, Low, Low",12430
12431.0,36,575.79,195,High,High,High,"High, High, High",12431
12432.0,43,189.95,71,High,High,High,"High, High, High",12432
12433.0,1,653.0600000000001,299,High,High,High,"High, High, High",12433
12434.0,85,92.98,39,Low,High,High,"Low, High, High",12434
12435.0,268,3.9,2,Low,Low,Low,"Low, Low, Low",12435
12436.0,100,44.28,15,Low,Low,Low,"Low, Low, Low",12436
12437.0,2,242.15,143,High,High,High,"High, High, High",12437
12438.0,14,169.79,78,High,High,High,"High, High, High",12438
12441.0,367,22.71,10,Low,Low,Low,"Low, Low, Low",12441
12442.0,3,12.08,11,High,Low,Low,"High, Low, Low",12442
12444.0,21,403.63,127,High,High,High,"High, High, High",12444
12445.0,22,3.95,3,High,Low,Low,"High, Low, Low",12445
12446.0,58,120.5,46,Low,High,High,"Low, High, High",12446
12447.0,243,52.08,22,Low,Low,Low,"Low, Low, Low",12447
12448.0,44,29.69,19,High,Low,Low,"High, Low, Low",12448
12449.0,22,384.99,157,High,High,High,"High, High, High",12449
12450.0,156,11.29,7,Low,Low,Low,"Low, Low, Low",12450
12451.0,11,517.8,278,High,High,High,"High, High, High",12451
